q,deferred,window_len,p_min,predicted_cap,n_survivors_deferred,n_two_gaps_deferred,max_run_length,n_runs_ge3,n_runs_total,n_two_gaps_post,d_head_post,lemma_c_predicts_survivor,actual_survivor_exists
7,3,42,5,3,17,12,3,4,4,4,4,True,True
11,3,110,5,3,38,23,3,5,11,8,0,True,True
13,3,156,5,3,49,26,3,3,14,9,4,True,True
17,3,272,5,3,81,43,3,5,25,16,0,True,True
19,3,342,5,3,96,47,3,6,28,17,10,True,True
23,3,506,5,3,134,63,3,7,39,21,6,True,True
29,3,812,5,3,207,91,3,8,61,29,0,True,True
31,3,930,5,3,229,99,3,9,65,30,10,True,True
37,3,1332,5,3,316,134,3,10,91,41,4,True,True
41,3,1640,5,3,380,155,3,11,107,48,0,True,True
43,3,1806,5,3,411,164,3,11,114,50,16,True,True
47,3,2162,5,3,482,183,3,12,130,61,12,True,True
53,3,2756,5,3,602,225,3,17,156,74,6,True,True
59,3,3422,5,3,725,265,3,18,184,87,0,True,True
61,3,3660,5,3,771,283,3,18,197,91,10,True,True
67,3,4422,5,3,911,332,3,20,232,110,4,True,True
71,3,4970,5,3,1010,367,3,22,260,121,0,True,True
73,3,5256,5,3,1055,378,3,23,267,123,28,True,True
79,3,6162,5,3,1218,424,3,26,300,138,22,True,True
83,3,6806,5,3,1333,462,3,24,333,152,18,True,True
89,3,7832,5,3,1509,509,3,25,367,166,12,True,True
97,3,9312,5,3,1766,586,3,27,427,187,4,True,True
101,3,10100,5,3,1902,631,3,27,462,202,0,True,True
103,3,10506,5,3,1963,647,3,27,475,208,4,True,True
107,3,11342,5,3,2100,683,3,26,505,218,0,True,True
109,3,11772,5,3,2169,703,3,28,517,223,28,True,True
113,3,12656,5,3,2316,742,3,29,545,234,24,True,True
127,3,16002,5,3,2871,889,3,32,659,276,10,True,True
131,3,17030,5,3,3031,928,3,33,690,288,6,True,True
137,3,18632,5,3,3286,1004,3,34,751,315,0,True,True
139,3,19182,5,3,3367,1024,3,35,767,320,10,True,True
149,3,22052,5,3,3827,1155,3,42,868,365,0,True,True
151,3,22650,5,3,3918,1183,3,44,891,374,28,True,True
157,3,24492,5,3,4200,1257,3,48,943,394,22,True,True
163,3,26406,5,3,4494,1339,3,51,1011,411,16,True,True
167,3,27722,5,3,4692,1391,3,51,1055,432,12,True,True
173,3,29756,5,3,5006,1471,3,53,1124,455,6,True,True
179,3,31862,5,3,5313,1552,3,55,1189,480,0,True,True
181,3,32580,5,3,5425,1582,3,55,1213,492,10,True,True
191,3,36290,5,3,5981,1736,3,64,1330,541,0,True,True
193,3,37056,5,3,6094,1761,3,66,1350,547,4,True,True
197,3,38612,5,3,6323,1828,3,70,1401,567,0,True,True
199,3,39402,5,3,6438,1856,3,72,1422,574,28,True,True
211,3,44310,5,3,7161,2045,3,80,1573,626,16,True,True
223,3,49506,5,3,7919,2232,3,83,1717,685,4,True,True
227,3,51302,5,3,8176,2302,3,84,1773,708,0,True,True
229,3,52212,5,3,8303,2335,3,85,1799,716,10,True,True
233,3,54056,5,3,8561,2390,3,86,1845,732,6,True,True
239,3,56882,5,3,8976,2490,3,88,1921,764,0,True,True
241,3,57840,5,3,9107,2520,3,89,1946,772,28,True,True
251,3,62750,5,3,9804,2689,3,90,2090,818,18,True,True
257,3,65792,5,3,10238,2796,3,92,2173,851,12,True,True
263,3,68906,5,3,10674,2897,3,94,2249,878,6,True,True
269,3,72092,5,3,11130,3016,3,98,2337,921,0,True,True
271,3,73170,5,3,11267,3045,3,97,2359,927,10,True,True
277,3,76452,5,3,11715,3151,3,100,2444,957,4,True,True
281,3,78680,5,3,12031,3228,3,104,2504,977,0,True,True
283,3,79806,5,3,12181,3264,3,103,2536,988,28,True,True
293,3,85556,5,3,12984,3463,3,113,2686,1056,18,True,True
307,3,93942,5,3,14143,3732,3,117,2913,1144,4,True,True
311,3,96410,5,3,14479,3804,3,118,2971,1166,0,True,True
313,3,97656,5,3,14648,3844,3,119,3006,1183,34,True,True
317,3,100172,5,3,14986,3932,3,124,3080,1207,30,True,True
331,3,109230,5,3,16215,4213,3,133,3308,1295,16,True,True
337,3,113232,5,3,16757,4346,3,138,3414,1336,10,True,True
347,3,120062,5,3,17669,4560,3,144,3588,1406,0,True,True
349,3,121452,5,3,17854,4604,3,142,3624,1419,70,True,True
353,3,124256,5,3,18227,4700,3,145,3703,1448,66,True,True
359,3,128522,5,3,18801,4838,3,149,3810,1483,60,True,True
367,3,134322,5,3,19571,5013,3,153,3946,1539,52,True,True
373,3,138756,5,3,20158,5148,3,156,4054,1580,46,True,True
379,3,143262,5,3,20753,5289,3,162,4157,1619,40,True,True
383,3,146306,5,3,21147,5380,3,163,4233,1645,36,True,True
389,3,150932,5,3,21761,5521,3,166,4347,1694,30,True,True
397,3,157212,5,3,22589,5712,3,169,4505,1760,22,True,True
401,3,160400,5,3,22999,5809,3,171,4582,1789,18,True,True
409,3,166872,5,3,23836,5990,3,175,4726,1843,10,True,True
419,3,175142,5,3,24910,6230,3,180,4924,1903,0,True,True
421,3,176820,5,3,25129,6275,3,180,4965,1926,10,True,True
431,3,185330,5,3,26237,6547,3,186,5182,2016,0,True,True
433,3,187056,5,3,26460,6598,3,188,5226,2034,28,True,True
439,3,192282,5,3,27132,6738,3,191,5342,2078,22,True,True
443,3,195806,5,3,27579,6819,3,194,5410,2101,18,True,True
449,3,201152,5,3,28257,6972,3,197,5532,2147,12,True,True
457,3,208392,5,3,29191,7201,3,206,5710,2217,4,True,True
461,3,212060,5,3,29652,7298,3,208,5789,2250,0,True,True
463,3,213906,5,3,29892,7354,3,210,5835,2259,58,True,True
467,3,217622,5,3,30361,7452,3,210,5916,2289,54,True,True
479,3,228962,5,3,31806,7781,3,219,6182,2389,42,True,True
487,3,236682,5,3,32777,8018,3,221,6380,2463,34,True,True
491,3,240590,5,3,33270,8117,3,223,6463,2487,30,True,True
499,3,248502,5,3,34283,8343,3,227,6645,2557,22,True,True
503,3,252506,5,3,34784,8448,3,229,6736,2585,18,True,True
509,3,258572,5,3,35542,8599,3,233,6864,2631,12,True,True
521,3,270920,5,3,37096,8943,3,234,7160,2740,0,True,True
523,3,273006,5,3,37351,9007,3,234,7207,2760,46,True,True
541,3,292140,5,3,39739,9513,3,245,7626,2917,28,True,True
547,3,298662,5,3,40532,9674,3,248,7759,2962,22,True,True
557,3,309692,5,3,41907,9990,3,254,8022,3061,12,True,True
563,3,316406,5,3,42743,10168,3,258,8166,3115,6,True,True
569,3,323192,5,3,43583,10375,3,261,8333,3186,0,True,True
571,3,325470,5,3,43870,10435,3,263,8382,3206,28,True,True
577,3,332352,5,3,44721,10633,3,267,8549,3273,22,True,True
587,3,343982,5,3,46144,10925,3,274,8797,3355,12,True,True
593,3,351056,5,3,47015,11114,3,277,8951,3407,6,True,True
599,3,358202,5,3,47889,11298,3,279,9105,3467,0,True,True
601,3,360600,5,3,48164,11361,3,281,9154,3486,16,True,True
607,3,367842,5,3,49063,11551,3,284,9316,3538,10,True,True
613,3,375156,5,3,49948,11730,3,286,9467,3590,4,True,True
617,3,380072,5,3,50540,11841,3,290,9559,3623,0,True,True
619,3,382542,5,3,50837,11901,3,291,9611,3642,22,True,True
631,3,397530,5,3,52669,12294,3,294,9945,3761,10,True,True
641,3,410240,5,3,54197,12631,3,298,10219,3863,0,True,True
643,3,412806,5,3,54500,12683,3,299,10262,3881,16,True,True
647,3,417962,5,3,55125,12812,3,303,10364,3921,12,True,True
653,3,425756,5,3,56071,13008,3,306,10535,3985,6,True,True
659,3,433622,5,3,57020,13210,3,311,10698,4058,0,True,True
661,3,436260,5,3,57339,13284,3,313,10755,4079,148,True,True
673,3,452256,5,3,59267,13672,3,324,11079,4187,136,True,True
677,3,457652,5,3,59903,13802,3,327,11185,4229,132,True,True
683,3,465806,5,3,60870,13998,3,330,11351,4288,126,True,True
691,3,476790,5,3,62195,14289,3,335,11594,4368,118,True,True
701,3,490700,5,3,63864,14621,3,337,11873,4473,108,True,True
709,3,501972,5,3,65209,14889,3,340,12101,4552,100,True,True
719,3,516242,5,3,66904,15228,3,342,12386,4653,90,True,True
727,3,527802,5,3,68289,15533,3,349,12634,4758,82,True,True
733,3,536556,5,3,69338,15745,3,350,12812,4821,76,True,True
739,3,545382,5,3,70360,15959,3,356,12988,4892,70,True,True
743,3,551306,5,3,71062,16117,3,360,13121,4934,66,True,True
751,3,563250,5,3,72468,16403,3,363,13364,5017,58,True,True
757,3,572292,5,3,73549,16630,3,371,13546,5090,52,True,True
761,3,578360,5,3,74261,16789,3,372,13681,5138,48,True,True
769,3,590592,5,3,75702,17079,3,376,13916,5236,40,True,True
773,3,596756,5,3,76431,17224,3,381,14038,5286,36,True,True
787,3,618582,5,3,79008,17749,3,397,14464,5446,22,True,True
797,3,634412,5,3,80850,18134,3,406,14769,5564,12,True,True
809,3,653672,5,3,83096,18611,3,412,15172,5714,0,True,True
811,3,656910,5,3,83468,18680,3,413,15231,5732,10,True,True
821,3,673220,5,3,85374,19092,3,419,15575,5856,0,True,True
823,3,676506,5,3,85748,19169,3,418,15640,5879,4,True,True
827,3,683102,5,3,86518,19325,3,420,15773,5928,0,True,True
829,3,686412,5,3,86899,19409,3,423,15837,5951,28,True,True
839,3,703082,5,3,88836,19788,3,431,16141,6059,18,True,True
853,3,726756,5,3,91607,20356,3,442,16614,6224,4,True,True
857,3,733592,5,3,92396,20516,3,445,16750,6267,0,True,True
859,3,737022,5,3,92789,20593,3,447,16810,6293,22,True,True
863,3,743906,5,3,93571,20746,3,449,16940,6343,18,True,True
877,3,768252,5,3,96397,21315,3,457,17422,6500,4,True,True
881,3,775280,5,3,97197,21478,3,458,17555,6557,0,True,True
883,3,778806,5,3,97603,21552,3,462,17617,6581,136,True,True
887,3,785882,5,3,98398,21704,3,463,17747,6637,132,True,True
907,3,821742,5,3,102560,22545,3,481,18448,6882,112,True,True
911,3,829010,5,3,103397,22725,3,486,18598,6941,108,True,True
919,3,843642,5,3,105077,23071,3,492,18889,7049,100,True,True
929,3,862112,5,3,107187,23493,3,500,19240,7168,90,True,True
937,3,877032,5,3,108891,23820,3,505,19508,7280,82,True,True
941,3,884540,5,3,109739,23985,3,507,19647,7333,78,True,True
947,3,895862,5,3,111030,24247,3,510,19877,7419,72,True,True
953,3,907256,5,3,112318,24492,3,513,20093,7487,66,True,True
967,3,934122,5,3,115394,25145,3,526,20627,7688,52,True,True
971,3,941870,5,3,116283,25324,3,528,20776,7736,48,True,True
977,3,953552,5,3,117590,25594,3,534,20999,7817,42,True,True
983,3,965306,5,3,118934,25876,3,538,21232,7907,36,True,True
991,3,981090,5,3,120710,26229,3,546,21522,8016,28,True,True
997,3,993012,5,3,122042,26471,3,550,21725,8087,22,True,True
