Q,layer,r,L_initial,L_before,destroyed,L_after,f_real,f_random,w_real,h_real,h_random,D_real,D_random,excess_hazard,c_eff,survival_real,survival_random
251,0,3,31374,31374,20916,10458,0.6666666666666666,0.6666666666666666,1.0,1.0986122886681098,1.0986122886681096,1.0986122886681098,1.0986122886681096,2.220446049250313e-16,1.0105685473181107e-16,0.3333333333333333,0.33333333333333337
251,1,5,31374,10458,4183,6275,0.39998087588449033,0.4,0.9999521897112258,0.5107937507480913,0.5108256237659907,1.609406039416201,1.6094379124341003,-3.187301789919772e-05,-9.901909745307676e-06,0.20000637470516988,0.2
251,2,7,31374,6275,1794,4481,0.28589641434262947,0.2857142857142857,1.0006374501992032,0.33672724921384156,0.3364722366212129,1.9461332886300426,1.9459101490553132,0.00022313957472941404,5.7335528785268494e-05,0.14282526933129341,0.14285714285714288
251,3,11,31374,4481,814,3667,0.1816558803838429,0.18181818181818182,0.9991073421111359,0.20047234671481695,0.20067069546215124,2.1466056353448595,2.1465808445174646,2.4790827394927106e-05,5.169289016946085e-06,0.11688021928985784,0.11688311688311687
251,4,13,31374,3667,564,3103,0.15380419961821654,0.15384615384615385,0.9997272975184074,0.16700450362294586,0.1670540846631662,2.3136101389678054,2.3136349291806306,-2.4790212825198665e-05,-4.832495572102229e-06,0.09890355071077962,0.09890109890109891
251,5,17,31374,3103,367,2736,0.11827263938124395,0.11764705882352941,1.0053174347405736,0.12587238570593917,0.12516314295400605,2.4394825246737444,2.4387980721346367,0.0006844525391076495,0.0001207908575864149,0.08720596672403902,0.08726567550096961
251,6,19,31374,2736,291,2445,0.10635964912280702,0.10526315789473684,1.0104166666666667,0.1124518768334687,0.11122563511022437,2.551934401507213,2.5500237072448613,0.0019106942623516865,0.0003244581184855454,0.07793077070185504,0.07807981492192016
251,7,23,31374,2445,211,2234,0.08629856850715746,0.08695652173913043,0.9924335378323108,0.09025142227982637,0.09097177820572663,2.6421858237870395,2.640995485450588,0.0011903383364515463,0.0001898167010489621,0.07120545674762542,0.07129026579827494
251,8,29,31374,2234,154,2080,0.06893464637421665,0.06896551724137931,0.9995523724261414,0.07142580693378235,0.07145896398214498,2.713611630720822,2.712454449432733,0.0011571812880890597,0.00017182649617300004,0.06629693376681328,0.0663736957432215
251,9,31,31374,2080,135,1945,0.06490384615384616,0.06451612903225806,1.0060096153846154,0.06710591664281698,0.06669137449867216,2.780717547363639,2.779145823931405,0.0015717234322338847,0.00022884817831893048,0.06199400777714031,0.06209152182430398
251,10,37,31374,1945,105,1840,0.05398457583547558,0.05405405405405406,0.9987146529562981,0.05549640544951534,0.055569851154810765,2.8362139528131545,2.834715675086216,0.0014982777269385572,0.00020746493871988763,0.058647287562950214,0.05873522334731457
251,11,41,31374,1840,85,1755,0.04619565217391304,0.04878048780487805,0.9470108695652173,0.04729671470306516,0.05001042057466142,2.8835106675162194,2.884726095660877,-0.0012154281446576931,-0.00016364676958273652,0.05593803786574871,0.055870090501104114
251,12,43,31374,1755,88,1667,0.05014245014245014,0.046511627906976744,1.078062678062678,0.05144325314917215,0.04762804898925459,2.9349539206653916,2.9323541446501316,0.002599776015260069,0.00034560458567632906,0.05313316759099892,0.053271481640587655
251,13,47,31374,1667,80,1587,0.04799040191961608,0.0425531914893617,1.127774445110978,0.049180162224384975,0.04348511193973878,2.9841340828897764,2.9758392565898704,0.008294826299906077,0.0010772088706705553,0.05058328552304456,0.051004610081413715
251,14,53,31374,1587,70,1517,0.04410838059231254,0.03773584905660377,1.1688720856962824,0.045110741177876876,0.03846628082779605,3.0292448240676535,3.0143055374176666,0.014939286649986894,0.0018813839102099024,0.0483521387135845,0.04907990781419055
251,15,59,31374,1517,59,1458,0.03889255108767304,0.03389830508474576,1.1473302570863546,0.03966906677992884,0.03448617607116932,3.068913890847582,3.048791713488836,0.020122177358746107,0.0024674423761357088,0.04647160068846816,0.04741618212557391
251,16,61,31374,1458,52,1406,0.03566529492455418,0.03278688524590164,1.0877914951989025,0.03631684019799323,0.033336420267591836,3.1052307310455753,3.0821281337564277,0.023102597289147653,0.002809937503858871,0.04481417734429782,0.04586155320342395
251,17,67,31374,1406,54,1352,0.03840682788051209,0.029850746268656716,1.2866287339971552,0.0391638157677008,0.030305349495328922,3.144394546813276,3.1124334832517566,0.03196106356151951,0.003800642098559508,0.04309300694842864,0.04449255161526204
251,18,71,31374,1352,48,1304,0.03550295857988166,0.028169014084507043,1.2603550295857988,0.03614851411631109,0.028573372444056,3.1805430609295873,3.141006855695813,0.039536205233774435,0.004637482332031948,0.04156307770765602,0.04323924030215606
251,19,73,31374,1304,47,1257,0.036042944785276074,0.0273972602739726,1.3155674846625767,0.036708533896350794,0.027779564107075706,3.217251594825938,3.1687864198028883,0.04846517502304959,0.0056480169184488695,0.04006502199273283,0.042054603581549055
251,20,79,31374,1257,37,1220,0.0294351630867144,0.02531645569620253,1.1626889419252189,0.029877070862945124,0.02564243061333767,3.247128665688883,3.194428850416226,0.05269981527265699,0.006030489097484285,0.03888570153630395,0.0409899300731554
251,21,83,31374,1220,38,1182,0.03114754098360656,0.024096385542168676,1.292622950819672,0.031642939761258676,0.024391453124159124,3.278771605450142,3.2188203035403853,0.059951301909756616,0.006783600861725878,0.03767450755402563,0.040002220914766115
