Q,anchor_layer,anchor_r,anchor_n0,layer,r,N_friendly,N_random,N_adversarial,N_empirical_pre,N_empirical_post
101,7,23,361.0,7,23,361.0,361.0,361.0,395,361
101,7,23,361.0,8,29,361.0,336.10344827586204,300.0,361,334
101,7,23,361.0,9,31,361.0,314.4193548387097,244.0,334,308
101,7,23,361.0,10,37,361.0,297.4237140366173,197.0,308,293
101,7,23,361.0,11,41,361.0,282.9152401811725,156.0,293,279
101,7,23,361.0,12,43,361.0,269.75639180065286,118.0,279,263
101,7,23,361.0,13,47,361.0,258.2773964048804,85.0,263,255
101,7,23,361.0,14,53,361.0,248.5310795594132,57.0,255,243
101,7,23,361.0,15,59,361.0,240.106297201467,34.0,243,236
101,7,23,361.0,16,61,361.0,232.23395958830412,12.0,236,226
101,7,23,361.0,17,67,361.0,225.30160258566818,0.0,226,216
101,7,23,361.0,18,71,361.0,218.9550785691705,0.0,216,211
101,7,23,361.0,19,73,361.0,212.9563092933028,0.0,211,209
101,7,23,361.0,20,79,361.0,207.5650103238521,0.0,209,207
101,7,23,361.0,21,83,361.0,202.56344381002435,0.0,207,204
101,7,23,361.0,22,89,361.0,198.0114563086755,0.0,204,202
101,7,23,361.0,23,97,361.0,193.92874586932135,0.0,202,202
