Q,layer,r,M_r,T_r,G_r_window,destroyed,surviving,cyclic_run_full_period,window_linear_run,sigma_r_2,sigma_r_min_gap_times_r,c14_interval_found,c14_k_r,c14_J_len,c14_G_in_J,c14_sigma_kr,c14_note,post_E_q,post_main_term,c12_margin,c13_margin
101,0,3,2,1,5049,3366,1683,,2,,6,False,,,,,T_r < 2 (first layer; sigma undefined),1489.59994241912,193.40005758088006,1683.0000000000002,1683.6665346534655
101,1,5,6,2,1683,673,1010,1,1,10,10,True,2,8,2,10,,816.59994241912,193.40005758088006,1008.5999999999999,1010.0
101,2,7,30,8,1010,288,722,0,2,14,14,True,8,68,8,168,,528.59994241912,193.40005758088006,720.0,721.321455085375
101,3,11,210,48,722,131,591,2,1,22,22,True,10,104,10,352,,397.59994241911994,193.40005758088006,587.9999999999999,590.0450411433521
101,4,13,2310,480,591,91,500,1,2,26,26,True,10,122,10,416,,306.59994241911994,193.40005758088006,497.0,500.0
101,5,17,30030,5760,500,57,443,2,2,34,34,True,10,128,10,544,,249.59994241911994,193.40005758088006,434.3529411764706,441.66236448115643
101,6,19,510510,92160,443,48,395,2,2,38,38,True,10,140,10,608,,201.59994241911994,193.40005758088006,389.7368421052631,395.0
101,7,23,9699690,1658880,395,34,361,3,2,46,46,True,10,146,10,736,,167.59994241911994,193.40005758088006,354.304347826087,359.3609022556391
101,8,29,,,361,27,334,,1,58,,True,10,146,10,928,,140.59994241911994,193.40005758088006,328.99999999999994,334.0
101,9,31,,,334,26,308,,2,62,,True,10,146,10,992,,114.59994241911994,193.40005758088006,304.00000000000006,308.0
101,10,37,,,308,15,293,,1,74,,True,10,146,10,1184,,99.59994241911994,193.40005758088006,282.7027027027027,289.1264667535854
101,11,41,,,293,14,279,,2,82,,True,10,170,10,1312,,85.59994241911994,193.40005758088006,269.0,276.8426361802286
101,12,43,,,279,16,263,,1,86,,True,10,170,10,1376,,69.59994241911994,193.40005758088006,255.04651162790697,263.0
101,13,47,,,263,8,255,,1,94,,True,10,170,10,1504,,61.59994241911994,193.40005758088006,241.00000000000003,250.671875
101,14,53,,,255,12,243,,1,106,,True,10,170,10,1696,,49.59994241911994,193.40005758088006,235.7547169811321,243.0
101,15,59,,,243,7,236,,1,118,,True,10,170,10,1888,,42.59994241911994,193.40005758088006,228.52542372881356,234.70155902004456
101,16,61,,,236,10,226,,1,122,,True,10,170,10,1952,,32.59994241911994,193.40005758088006,218.0,226.0
101,17,67,,,226,10,216,,1,134,,True,10,170,10,2144,,22.59994241911994,193.40005758088006,212.50746268656718,216.0
101,18,71,,,216,5,211,,1,142,,True,10,170,10,2272,,17.59994241911994,193.40005758088006,204.00000000000003,210.9532710280374
101,19,73,,,211,2,209,,1,146,,True,10,170,10,2336,,15.599942419119941,193.40005758088006,199.0,206.344365642238
101,20,79,,,209,2,207,,1,158,,True,10,170,10,2528,,13.599942419119941,193.40005758088006,198.41772151898732,205.66932270916334
101,21,83,,,207,3,204,,1,166,,True,10,170,10,2656,,10.599942419119941,193.40005758088006,197.0,204.0
101,22,89,,,204,2,202,,1,178,,True,10,170,10,2848,,8.599942419119941,193.40005758088006,191.99999999999997,201.6911883589329
101,23,97,,,202,0,202,,0,194,,True,10,170,10,3104,,8.599942419119941,193.40005758088006,192.0,201.01463414634145
