p,q,window_len,G_local,A_worst,surplus,destroyed,surviving,waste_ratio,max_cluster_in_width_p,max_cons_destroyed_run,d_head,main_term,E_q,destruction_rate,gap_2_over_p,residue_max_dev,endpoint_bias
3,5,20,9,3,6,6,3,-1.0,2,2,0,3.333333333333334,5.666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
5,7,42,6,2,4,2,4,0.0,1,1,4,4.2,1.7999999999999998,0.3333333333333333,0.4,0.8,0.1428571428571429
7,11,110,11,4,7,3,8,0.25,2,2,0,7.8571428571428585,3.1428571428571415,0.2727272727272727,0.2857142857142857,1.4285714285714286,0.01666666666666672
11,13,156,9,2,7,0,9,1.0,2,0,4,9.116883116883118,-0.11688311688311792,0.0,0.18181818181818182,1.1818181818181817,0.5
557,563,316406,3116,3,3113,1,3115,0.6666666666666666,17,1,6,3267.521636532598,-151.52163653259822,0.00032092426187419767,0.003590664272890485,6.405745062836624,0.10469481845642095
1231,1237,1528932,11770,2,11768,1,11769,0.5,33,1,40,12448.400423866266,-678.4004238662656,8.496176720475786e-05,0.0016246953696181965,10.438667749796913,0.29722978327533334
1997,1999,3994002,26778,2,26776,1,26777,0.5,47,1,28,28651.611197283197,-1873.6111972831968,3.7344088430801405e-05,0.00100150225338007,13.590886329494241,0.31048698150730014
2753,2767,7653522,46683,3,46680,1,46682,0.6666666666666666,60,1,22,50442.45623413666,-3759.456234136662,2.1421074052653e-05,0.000726480203414457,16.95713766799855,0.15299783351199614
3583,3593,12906056,73381,2,73379,0,73381,1.0,69,0,78,79852.1774848516,-6471.177484851607,0.0,0.0005581914596706671,20.48032375104661,0.17403998263893006
4423,4441,19718040,106043,5,106038,1,106042,0.8,73,1,40,116027.89317803505,-9984.893178035054,9.430136831285422e-06,0.0004521817770743839,23.975356093149447,0.030796172119016946
5297,5303,28116506,144400,3,144397,1,144399,0.6666666666666666,87,1,114,158757.59410993024,-14357.594109930244,6.925207756232687e-06,0.00037757221068529355,27.260713611478195,0.16809968334031342
6151,6163,37976406,187845,3,187842,0,187845,1.0,96,0,34,207053.11215233448,-19208.112152334477,0.0,0.0003251503820516989,30.538936758250692,0.1621327694282909
7013,7019,49259342,235854,2,235852,0,235854,1.0,107,0,108,260530.72725223014,-24676.727252230135,0.0,0.00028518465706544986,33.63097105375731,0.15943013060070374
7933,7937,62988032,292587,2,292585,0,292587,1.0,119,0,12,324354.9271866335,-31767.92718663352,0.0,0.00025211143325349803,36.88226396067061,0.15696344322067246
8839,8849,78295952,354568,2,354566,0,354568,1.0,130,0,12,393699.57332732686,-39131.573327326856,0.0,0.00022626994003846588,40.11404004977938,0.15499586574817717
9743,9749,95033252,420699,2,420697,0,420699,1.0,143,0,18,467687.1643180072,-46988.164318007184,0.0,0.00020527558246946525,43.17961613466078,0.1532363841663859
10667,10687,114201282,495050,3,495047,0,495050,1.0,153,0,22,551104.2071471935,-56054.20714719349,0.0,0.00018749414080809974,46.40948720352489,0.1516465931362188
11681,11689,136621032,580260,2,580258,2,580258,0.0,165,1,10,647588.573246691,-67328.57324669103,3.4467307758590976e-06,0.0001712182176183546,48.675541477613216,0.8498918153192819
12577,12583,158319306,661087,3,661084,2,661085,0.3333333333333333,172,1,28,738169.2335865134,-77082.23358651344,3.0253204192489037e-06,0.00015902043412578516,52.56317086745647,0.5178518119913605
13523,13537,183236832,752109,2,752107,0,752109,1.0,185,0,142,841342.2404242258,-89233.2404242258,0.0,0.00014789617688382755,55.617022849959326,0.14748490361728822
14537,14543,211484306,854422,3,854419,1,854421,0.6666666666666666,193,1,6,957284.5075004509,-102862.50750045094,1.1703818487819836e-06,0.00013757996835660728,58.77567586159455,0.18700414223342648
15427,15439,238347282,950157,4,950153,1,950156,0.75,206,1,142,1064568.523835536,-114411.52383553609,1.052457646473162e-06,0.00012964283399235108,61.59052310883516,0.10466044155275012
16417,16421,269632820,1060206,2,1060204,0,1060206,1.0,221,0,30,1189250.9679207278,-129044.9679207278,0.0,0.0001218249375647195,64.5797648778705,0.14432901274449825
17401,17417,303334472,1177757,4,1177753,0,1177757,1.0,235,0,0,1322169.216693543,-144412.2166935429,0.0,0.00011493592322280328,67.68329406355957,0.14343626927860603
18341,18353,336814256,1293320,2,1293318,1,1293319,0.5,237,1,168,1451772.414065752,-158452.41406575195,7.732038474623449e-07,0.00010904530832560929,70.5152390818385,0.35733868230544974
19429,19433,377622056,1431888,2,1431886,1,1431887,0.5,248,1,36,1610528.924920934,-178640.92492093402,6.983786441397651e-07,0.00010293890575943178,73.69849194503063,0.35825368842703786
