p,q,window_len,G_local,A_worst,surplus,destroyed,surviving,waste_ratio,max_cluster_in_width_p,max_cons_destroyed_run,d_head,main_term,E_q,destruction_rate,gap_2_over_p,residue_max_dev,endpoint_bias
3,5,20,9,3,6,6,3,-1.0,2,2,0,3.333333333333334,5.666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
5,7,42,6,2,4,2,4,0.0,1,1,4,4.2,1.7999999999999998,0.3333333333333333,0.4,0.8,0.1428571428571429
7,11,110,11,4,7,3,8,0.25,2,2,0,7.8571428571428585,3.1428571428571415,0.2727272727272727,0.2857142857142857,1.4285714285714286,0.01666666666666672
11,13,156,9,2,7,0,9,1.0,2,0,4,9.116883116883118,-0.11688311688311792,0.0,0.18181818181818182,1.1818181818181817,0.5
13,17,272,18,3,15,2,16,0.3333333333333333,2,1,0,13.450549450549453,4.5494505494505475,0.1111111111111111,0.15384615384615385,1.6153846153846154,0.04597701149425282
17,19,342,17,2,15,0,17,1.0,2,0,10,14.922430510665807,2.077569489334193,0.0,0.11764705882352941,1.0,0.5074626865671642
19,23,506,23,2,21,2,21,0.0,3,1,6,19.75419317524581,3.2458068247541902,0.08695652173913043,0.10526315789473684,1.2105263157894737,0.5053763440860215
23,29,812,29,3,26,0,29,1.0,3,0,0,28.943847914099635,0.05615208590036502,0.0,0.08695652173913043,1.7391304347826086,0.4142857142857143
29,31,930,31,2,29,1,30,0.5,3,1,10,30.863768520598008,0.13623147940199232,0.03225806451612903,0.06896551724137931,1.9310344827586208,0.09740259740259738
31,37,1332,41,4,37,0,41,1.0,3,0,4,41.35295353498647,-0.35295353498646875,0.0,0.06451612903225806,1.6774193548387097,0.3867924528301887
37,41,1640,49,3,46,1,48,0.6666666666666666,3,1,0,48.16288314479797,0.8371168552020265,0.02040816326530612,0.05405405405405406,1.6756756756756757,0.05249343832020997
