k,p,p_next,G_local,delta,extinction
2,3,5,3,0,true
3,5,7,4,-1,true
4,7,11,5,-2,true
5,11,13,8,-3,true
6,13,17,10,-3,true
7,17,19,16,-1,true
8,19,23,18,-1,true
9,23,29,21,-2,true
10,29,31,30,1,false
11,31,37,30,-1,true
12,37,41,42,5,false
13,41,43,48,7,false
14,43,47,51,8,false
15,47,53,62,15,false
16,53,59,74,21,false
17,59,61,87,28,false
18,61,67,92,31,false
19,67,71,110,43,false
20,71,73,122,51,false
21,73,79,123,50,false
22,79,83,138,59,false
23,83,89,152,69,false
24,89,97,167,78,false
25,97,101,187,90,false
26,101,103,202,101,false
27,103,107,209,106,false
28,107,109,219,112,false
29,109,113,223,114,false
30,113,127,234,121,false
31,127,131,277,150,false
32,131,137,289,158,false
33,137,139,315,178,false
34,139,149,321,182,false
35,149,151,365,216,false
36,151,157,374,223,false
37,157,163,394,237,false
38,163,167,411,248,false
39,167,173,432,265,false
40,173,179,456,283,false
41,179,181,480,301,false
42,181,191,492,311,false
43,191,193,542,351,false
44,193,197,547,354,false
45,197,199,567,370,false
46,199,211,574,375,false
47,211,223,627,416,false
48,223,227,686,463,false
49,227,229,708,481,false
50,229,233,716,487,false
51,233,239,733,500,false
52,239,241,765,526,false
53,241,251,772,531,false
54,251,257,818,567,false
55,257,263,852,595,false
56,263,269,878,615,false
57,269,271,921,652,false
58,271,277,927,656,false
59,277,281,957,680,false
60,281,283,977,696,false
61,283,293,988,705,false
62,293,307,1057,764,false
63,307,311,1144,837,false
64,311,313,1166,855,false
65,313,317,1184,871,false
66,317,331,1207,890,false
67,331,337,1295,964,false
68,337,347,1337,1000,false
69,347,349,1406,1059,false
70,349,353,1419,1070,false
71,353,359,1448,1095,false
72,359,367,1484,1125,false
73,367,373,1539,1172,false
74,373,379,1580,1207,false
75,379,383,1619,1240,false
76,383,389,1645,1262,false
77,389,397,1694,1305,false
78,397,401,1760,1363,false
79,401,409,1789,1388,false
80,409,419,1843,1434,false
81,419,421,1903,1484,false
82,421,431,1927,1506,false
83,431,433,2016,1585,false
84,433,439,2034,1601,false
85,439,443,2078,1639,false
86,443,449,2102,1659,false
87,449,457,2148,1699,false
88,457,461,2217,1760,false
89,461,463,2250,1789,false
90,463,467,2259,1796,false
91,467,479,2290,1823,false
92,479,487,2389,1910,false
93,487,491,2463,1976,false
94,491,499,2488,1997,false
95,499,503,2557,2058,false
96,503,509,2585,2082,false
97,509,521,2631,2122,false
98,521,523,2740,2219,false
99,523,541,2761,2238,false
100,541,547,2918,2377,false
101,547,557,2962,2415,false
102,557,563,3061,2504,false
103,563,569,3115,2552,false
104,569,571,3187,2618,false
105,571,577,3206,2635,false
106,577,587,3273,2696,false
107,587,593,3356,2769,false
108,593,599,3407,2814,false
109,599,601,3467,2868,false
110,601,607,3486,2885,false
111,607,613,3539,2932,false
112,613,617,3590,2977,false
113,617,619,3623,3006,false
114,619,631,3642,3023,false
115,631,641,3761,3130,false
116,641,643,3863,3222,false
117,643,647,3881,3238,false
118,647,653,3921,3274,false
119,653,659,3986,3333,false
120,659,661,4058,3399,false
121,661,673,4079,3418,false
122,673,677,4187,3514,false
123,677,683,4230,3553,false
124,683,691,4288,3605,false
125,691,701,4368,3677,false
126,701,709,4473,3772,false
127,709,719,4552,3843,false
128,719,727,4654,3935,false
129,727,733,4759,4032,false
130,733,739,4822,4089,false
131,739,743,4892,4153,false
132,743,751,4935,4192,false
133,751,757,5018,4267,false
134,757,761,5091,4334,false
135,761,769,5139,4378,false
136,769,773,5236,4467,false
137,773,787,5286,4513,false
138,787,797,5446,4659,false
139,797,809,5565,4768,false
140,809,811,5714,4905,false
141,811,821,5733,4922,false
142,821,823,5856,5035,false
143,823,827,5879,5056,false
144,827,829,5928,5101,false
145,829,839,5951,5122,false
146,839,853,6059,5220,false
147,853,857,6224,5371,false
148,857,859,6267,5410,false
149,859,863,6293,5434,false
150,863,877,6344,5481,false
151,877,881,6500,5623,false
152,881,883,6558,5677,false
153,883,887,6581,5698,false
154,887,907,6637,5750,false
155,907,911,6882,5975,false
156,911,919,6941,6030,false
157,919,929,7049,6130,false
158,929,937,7168,6239,false
159,937,941,7280,6343,false
160,941,947,7333,6392,false
161,947,953,7419,6472,false
162,953,967,7487,6534,false
163,967,971,7688,6721,false
164,971,977,7736,6765,false
165,977,983,7817,6840,false
166,983,991,7907,6924,false
167,991,997,8016,7025,false
