stage_index,head,gap_index,gap,survivor
1,3,0,2,5
1,3,1,2,7
1,3,2,2,9
1,3,3,2,11
1,3,4,2,13
1,3,5,2,15
1,3,6,2,17
1,3,7,2,19
1,3,8,2,21
1,3,9,2,23
1,3,10,2,25
1,3,11,2,27
1,3,12,2,29
1,3,13,2,31
1,3,14,2,33
1,3,15,2,35
1,3,16,2,37
1,3,17,2,39
1,3,18,2,41
1,3,19,2,43
1,3,20,2,45
1,3,21,2,47
1,3,22,2,49
1,3,23,2,51
1,3,24,2,53
1,3,25,2,55
1,3,26,2,57
1,3,27,2,59
1,3,28,2,61
1,3,29,2,63
1,3,30,2,65
1,3,31,2,67
1,3,32,2,69
1,3,33,2,71
1,3,34,2,73
1,3,35,2,75
1,3,36,2,77
1,3,37,2,79
1,3,38,2,81
1,3,39,2,83
1,3,40,2,85
1,3,41,2,87
1,3,42,2,89
1,3,43,2,91
1,3,44,2,93
1,3,45,2,95
1,3,46,2,97
1,3,47,2,99
1,3,48,2,101
1,3,49,2,103
1,3,50,2,105
1,3,51,2,107
1,3,52,2,109
1,3,53,2,111
1,3,54,2,113
1,3,55,2,115
1,3,56,2,117
1,3,57,2,119
1,3,58,2,121
1,3,59,2,123
1,3,60,2,125
1,3,61,2,127
1,3,62,2,129
1,3,63,2,131
1,3,64,2,133
1,3,65,2,135
1,3,66,2,137
1,3,67,2,139
1,3,68,2,141
1,3,69,2,143
1,3,70,2,145
1,3,71,2,147
1,3,72,2,149
1,3,73,2,151
1,3,74,2,153
1,3,75,2,155
1,3,76,2,157
1,3,77,2,159
1,3,78,2,161
1,3,79,2,163
1,3,80,2,165
1,3,81,2,167
1,3,82,2,169
1,3,83,2,171
1,3,84,2,173
1,3,85,2,175
1,3,86,2,177
1,3,87,2,179
1,3,88,2,181
1,3,89,2,183
1,3,90,2,185
1,3,91,2,187
1,3,92,2,189
1,3,93,2,191
1,3,94,2,193
1,3,95,2,195
1,3,96,2,197
1,3,97,2,199
1,3,98,2,201
1,3,99,2,203
2,5,0,2,7
2,5,1,4,11
2,5,2,2,13
2,5,3,4,17
2,5,4,2,19
2,5,5,4,23
2,5,6,2,25
2,5,7,4,29
2,5,8,2,31
2,5,9,4,35
2,5,10,2,37
2,5,11,4,41
2,5,12,2,43
2,5,13,4,47
2,5,14,2,49
2,5,15,4,53
2,5,16,2,55
2,5,17,4,59
2,5,18,2,61
2,5,19,4,65
2,5,20,2,67
2,5,21,4,71
2,5,22,2,73
2,5,23,4,77
2,5,24,2,79
2,5,25,4,83
2,5,26,2,85
2,5,27,4,89
2,5,28,2,91
2,5,29,4,95
2,5,30,2,97
2,5,31,4,101
2,5,32,2,103
2,5,33,4,107
2,5,34,2,109
2,5,35,4,113
2,5,36,2,115
2,5,37,4,119
2,5,38,2,121
2,5,39,4,125
2,5,40,2,127
2,5,41,4,131
2,5,42,2,133
2,5,43,4,137
2,5,44,2,139
2,5,45,4,143
2,5,46,2,145
2,5,47,4,149
2,5,48,2,151
2,5,49,4,155
2,5,50,2,157
2,5,51,4,161
2,5,52,2,163
2,5,53,4,167
2,5,54,2,169
2,5,55,4,173
2,5,56,2,175
2,5,57,4,179
2,5,58,2,181
2,5,59,4,185
2,5,60,2,187
2,5,61,4,191
2,5,62,2,193
2,5,63,4,197
2,5,64,2,199
2,5,65,4,203
2,5,66,2,205
2,5,67,4,209
2,5,68,2,211
2,5,69,4,215
2,5,70,2,217
2,5,71,4,221
2,5,72,2,223
2,5,73,4,227
2,5,74,2,229
2,5,75,4,233
2,5,76,2,235
2,5,77,4,239
2,5,78,2,241
2,5,79,4,245
2,5,80,2,247
2,5,81,4,251
2,5,82,2,253
2,5,83,4,257
2,5,84,2,259
2,5,85,4,263
2,5,86,2,265
2,5,87,4,269
2,5,88,2,271
2,5,89,4,275
2,5,90,2,277
2,5,91,4,281
2,5,92,2,283
2,5,93,4,287
2,5,94,2,289
2,5,95,4,293
2,5,96,2,295
2,5,97,4,299
2,5,98,2,301
2,5,99,4,305
3,7,0,4,11
3,7,1,2,13
3,7,2,4,17
3,7,3,2,19
3,7,4,4,23
3,7,5,6,29
3,7,6,2,31
3,7,7,6,37
3,7,8,4,41
3,7,9,2,43
3,7,10,4,47
3,7,11,2,49
3,7,12,4,53
3,7,13,6,59
3,7,14,2,61
3,7,15,6,67
3,7,16,4,71
3,7,17,2,73
3,7,18,4,77
3,7,19,2,79
3,7,20,4,83
3,7,21,6,89
3,7,22,2,91
3,7,23,6,97
3,7,24,4,101
3,7,25,2,103
3,7,26,4,107
3,7,27,2,109
3,7,28,4,113
3,7,29,6,119
3,7,30,2,121
3,7,31,6,127
3,7,32,4,131
3,7,33,2,133
3,7,34,4,137
3,7,35,2,139
3,7,36,4,143
3,7,37,6,149
3,7,38,2,151
3,7,39,6,157
3,7,40,4,161
3,7,41,2,163
3,7,42,4,167
3,7,43,2,169
3,7,44,4,173
3,7,45,6,179
3,7,46,2,181
3,7,47,6,187
3,7,48,4,191
3,7,49,2,193
3,7,50,4,197
3,7,51,2,199
3,7,52,4,203
3,7,53,6,209
3,7,54,2,211
3,7,55,6,217
3,7,56,4,221
3,7,57,2,223
3,7,58,4,227
3,7,59,2,229
3,7,60,4,233
3,7,61,6,239
3,7,62,2,241
3,7,63,6,247
3,7,64,4,251
3,7,65,2,253
3,7,66,4,257
3,7,67,2,259
3,7,68,4,263
3,7,69,6,269
3,7,70,2,271
3,7,71,6,277
3,7,72,4,281
3,7,73,2,283
3,7,74,4,287
3,7,75,2,289
3,7,76,4,293
3,7,77,6,299
3,7,78,2,301
3,7,79,6,307
3,7,80,4,311
3,7,81,2,313
3,7,82,4,317
3,7,83,2,319
3,7,84,4,323
3,7,85,6,329
3,7,86,2,331
3,7,87,6,337
3,7,88,4,341
3,7,89,2,343
3,7,90,4,347
3,7,91,2,349
3,7,92,4,353
3,7,93,6,359
3,7,94,2,361
3,7,95,6,367
3,7,96,4,371
3,7,97,2,373
3,7,98,4,377
3,7,99,2,379
4,11,0,2,13
4,11,1,4,17
4,11,2,2,19
4,11,3,4,23
4,11,4,6,29
4,11,5,2,31
4,11,6,6,37
4,11,7,4,41
4,11,8,2,43
4,11,9,4,47
4,11,10,6,53
4,11,11,6,59
4,11,12,2,61
4,11,13,6,67
4,11,14,4,71
4,11,15,2,73
4,11,16,6,79
4,11,17,4,83
4,11,18,6,89
4,11,19,8,97
4,11,20,4,101
4,11,21,2,103
4,11,22,4,107
4,11,23,2,109
4,11,24,4,113
4,11,25,8,121
