index,gap,originalSpan
0,16,2
1,2,1
2,10,2
3,2,1
4,10,2
5,2,1
6,16,3
7,2,1
8,10,2
9,2,1
10,28,5
11,2,1
12,4,1
13,2,1
14,28,4
15,2,1
16,10,1
17,2,1
18,16,3
19,2,1
20,10,2
21,2,1
22,10,1
23,2,1
24,4,1
25,2,1
26,22,2
27,2,1
28,4,1
29,2,1
30,10,2
31,2,1
32,28,5
33,2,1
34,10,2
35,2,1
36,28,5
37,2,1
38,34,5
39,2,1
40,10,2
41,2,1
42,16,3
43,2,1
44,10,2
45,2,1
46,10,2
47,2,1
48,16,2
49,2,1
50,10,1
51,2,1
52,4,1
53,2,1
54,22,4
55,2,1
56,16,2
57,2,1
58,10,2
59,2,1
60,28,4
61,2,1
62,4,1
63,2,1
64,28,5
65,2,1
66,10,2
67,2,1
68,16,2
69,2,1
70,10,2
71,2,1
72,10,2
73,2,1
74,4,1
75,2,1
76,10,1
77,2,1
78,10,1
79,2,1
80,16,3
81,2,1
82,28,5
83,2,1
84,10,2
85,2,1
86,28,5
87,2,1
88,34,6
89,2,1
90,28,5
91,2,1
92,10,1
93,2,1
94,10,2
95,2,1
96,4,1
97,2,1
98,10,1
99,2,1
100,10,1
101,2,1
102,4,1
103,2,1
104,22,4
105,2,1
106,16,3
107,2,1
108,40,7
109,2,1
110,4,1
111,2,1
112,40,7
113,2,1
114,16,3
115,2,1
116,10,2
117,2,1
118,10,2
119,2,1
120,4,1
121,2,1
122,10,1
123,2,1
124,10,1
125,2,1
126,16,3
127,2,1
128,10,2
129,2,1
130,28,5
131,2,1
132,28,4
133,2,1
134,4,1
135,2,1
136,28,4
137,2,1
138,28,5
139,2,1
140,10,2
141,2,1
142,16,3
143,2,1
144,10,1
145,2,1
146,10,1
147,2,1
148,4,1
149,2,1
150,10,2
151,2,1
152,10,2
153,2,1
154,16,3
155,2,1
156,40,7
157,2,1
158,4,1
159,2,1
160,40,7
161,2,1
162,16,3
163,2,1
164,22,4
165,2,1
166,4,1
167,2,1
168,10,1
169,2,1
170,10,1
171,2,1
172,4,1
173,2,1
174,10,2
175,2,1
176,10,1
177,2,1
178,28,5
179,2,1
180,34,6
181,2,1
182,28,5
183,2,1
184,10,2
185,2,1
186,28,5
187,2,1
188,16,3
189,2,1
190,10,1
191,2,1
192,10,1
193,2,1
194,4,1
195,2,1
196,10,2
197,2,1
198,10,2
199,2,1
200,16,2
201,2,1
202,10,2
203,2,1
204,28,5
205,2,1
206,4,1
207,2,1
208,28,4
209,2,1
210,10,2
211,2,1
212,16,2
213,2,1
214,22,4
215,2,1
216,4,1
217,2,1
218,10,1
219,2,1
220,16,2
221,2,1
222,10,2
223,2,1
224,10,2
225,2,1
226,16,3
227,2,1
228,10,2
229,2,1
230,34,5
231,2,1
232,28,5
233,2,1
234,10,2
235,2,1
236,28,5
237,2,1
238,10,2
239,2,1
240,4,1
241,2,1
242,22,2
243,2,1
244,4,1
245,2,1
246,10,1
247,2,1
248,10,2
249,2,1
250,16,3
251,2,1
252,10,1
253,2,1
254,28,4
255,2,1
256,4,1
257,2,1
258,28,5
259,2,1
260,10,2
261,2,1
262,16,3
263,2,1
264,10,2
265,2,1
266,10,2
267,2,1
268,16,2
269,2,1
