gidx,gap,origin,mergeCount
0,16,merge,1
1,2,copy,0
2,4,copy,0
3,6,copy,0
4,2,copy,0
5,6,copy,0
6,4,copy,0
7,2,copy,0
8,4,copy,0
9,6,copy,0
10,6,copy,0
11,2,copy,0
12,6,copy,0
13,4,copy,0
14,2,copy,0
15,6,copy,0
16,4,copy,0
17,6,copy,0
18,8,copy,0
19,4,copy,0
20,2,copy,0
21,4,copy,0
22,2,copy,0
23,4,copy,0
24,14,copy,0
25,4,copy,0
26,6,copy,0
27,2,copy,0
28,10,copy,0
29,2,copy,0
30,6,copy,0
31,6,copy,0
32,4,copy,0
33,6,merge,1
34,6,copy,0
35,2,copy,0
36,10,copy,0
37,2,copy,0
38,4,copy,0
39,2,copy,0
40,12,copy,0
41,12,merge,1
42,4,copy,0
43,2,copy,0
44,4,copy,0
45,6,copy,0
46,2,copy,0
47,10,merge,1
48,6,copy,0
49,6,copy,0
50,6,copy,0
51,2,copy,0
52,6,copy,0
53,4,copy,0
54,2,copy,0
55,6,copy,0
56,4,copy,0
57,14,merge,1
58,4,copy,0
59,2,copy,0
60,4,copy,0
61,6,copy,0
62,8,copy,0
63,6,copy,0
64,10,copy,0
65,2,copy,0
66,4,copy,0
67,6,copy,0
68,2,copy,0
69,6,copy,0
70,6,copy,0
71,6,merge,1
72,4,copy,0
73,6,copy,0
74,2,copy,0
75,6,copy,0
76,4,copy,0
77,8,merge,1
78,10,copy,0
79,2,copy,0
80,10,copy,0
81,2,copy,0
82,4,copy,0
83,2,copy,0
84,4,copy,0
85,6,copy,0
86,8,copy,0
87,4,copy,0
88,2,copy,0
89,4,copy,0
90,12,copy,0
91,8,merge,1
92,4,copy,0
93,2,copy,0
94,6,copy,0
95,4,copy,0
96,6,copy,0
97,12,copy,0
98,2,copy,0
99,4,copy,0
100,2,copy,0
101,12,merge,1
102,6,copy,0
103,4,copy,0
104,6,copy,0
105,6,merge,1
106,6,copy,0
107,2,copy,0
108,6,copy,0
109,10,copy,0
110,2,copy,0
111,4,copy,0
112,6,copy,0
113,2,copy,0
114,6,copy,0
115,6,merge,1
116,4,copy,0
117,2,copy,0
118,10,copy,0
119,2,copy,0
120,10,copy,0
121,2,copy,0
122,4,copy,0
123,6,copy,0
124,6,copy,0
125,2,copy,0
126,6,copy,0
127,6,copy,0
128,4,copy,0
129,6,copy,0
130,8,merge,1
131,6,copy,0
132,4,copy,0
133,2,copy,0
134,6,copy,0
135,4,copy,0
136,6,copy,0
137,8,copy,0
138,4,copy,0
139,2,copy,0
140,6,copy,0
141,4,copy,0
142,8,copy,0
143,6,copy,0
144,4,copy,0
145,8,merge,1
146,4,copy,0
147,6,copy,0
148,8,copy,0
149,10,merge,1
150,2,copy,0
151,10,copy,0
152,2,copy,0
153,6,copy,0
154,4,copy,0
155,2,copy,0
156,4,copy,0
157,2,copy,0
158,10,copy,0
159,2,copy,0
160,10,copy,0
161,2,copy,0
162,4,copy,0
163,2,copy,0
164,4,copy,0
165,14,merge,1
166,4,copy,0
167,2,copy,0
168,4,copy,0
169,6,copy,0
170,6,copy,0
171,2,copy,0
172,6,copy,0
173,4,copy,0
174,8,copy,0
175,10,merge,1
176,8,copy,0
177,4,copy,0
178,2,copy,0
179,4,copy,0
180,6,merge,1
181,8,copy,0
182,6,copy,0
183,4,copy,0
184,6,copy,0
185,6,copy,0
186,6,copy,0
187,2,copy,0
188,6,copy,0
189,6,copy,0
190,4,copy,0
191,2,copy,0
192,4,copy,0
193,6,copy,0
194,2,copy,0
195,10,merge,1
196,2,copy,0
197,4,copy,0
198,2,copy,0
199,10,copy,0
200,2,copy,0
201,10,copy,0
202,2,copy,0
203,6,copy,0
204,4,copy,0
205,8,merge,1
206,6,copy,0
207,4,copy,0
208,2,copy,0
209,4,copy,0
210,6,copy,0
211,6,copy,0
212,8,copy,0
213,4,copy,0
214,2,copy,0
215,6,copy,0
216,10,copy,0
217,8,copy,0
218,4,copy,0
219,2,copy,0
220,6,merge,1
221,4,copy,0
222,8,copy,0
223,10,copy,0
224,6,copy,0
225,2,copy,0
226,4,copy,0
227,8,copy,0
228,6,copy,0
229,6,copy,0
230,4,copy,0
231,2,copy,0
232,4,copy,0
233,6,copy,0
234,2,copy,0
235,6,copy,0
236,4,copy,0
237,6,copy,0
238,2,copy,0
239,10,copy,0
240,12,merge,1
241,2,copy,0
242,4,copy,0
243,2,copy,0
244,4,copy,0
245,6,copy,0
246,2,copy,0
247,6,copy,0
248,4,copy,0
249,2,copy,0
250,4,copy,0
251,12,merge,1
252,2,copy,0
253,6,copy,0
254,6,copy,0
255,10,merge,1
256,6,copy,0
257,8,copy,0
258,4,copy,0
259,2,copy,0
260,4,copy,0
261,2,copy,0
262,4,copy,0
263,8,copy,0
264,6,copy,0
265,12,merge,1
266,4,copy,0
267,6,copy,0
268,2,copy,0
269,12,merge,1
270,4,copy,0
271,2,copy,0
272,4,copy,0
273,6,copy,0
274,8,copy,0
275,4,copy,0
276,2,copy,0
277,4,copy,0
278,2,copy,0
279,12,merge,1
280,10,copy,0
281,2,copy,0
282,4,copy,0
283,2,copy,0
284,4,copy,0
285,6,copy,0
286,2,copy,0
287,10,copy,0
288,2,copy,0
289,4,copy,0
290,6,copy,0
291,8,copy,0
292,6,copy,0
293,4,copy,0
294,2,copy,0
295,6,copy,0
296,4,copy,0
297,6,copy,0
298,8,copy,0
299,4,copy,0
300,6,copy,0
301,2,copy,0
302,4,copy,0
303,8,copy,0
304,6,copy,0
305,4,copy,0
306,6,copy,0
307,2,copy,0
308,4,copy,0
309,6,copy,0
310,2,copy,0
311,6,copy,0
312,6,copy,0
313,4,copy,0
314,6,copy,0
315,6,copy,0
316,8,merge,1
317,6,copy,0
318,4,copy,0
319,2,copy,0
320,10,copy,0
321,2,copy,0
322,10,copy,0
323,2,copy,0
324,4,copy,0
325,2,copy,0
326,10,merge,1
327,2,copy,0
328,6,copy,0
329,4,copy,0
330,2,copy,0
331,10,copy,0
332,6,copy,0
333,2,copy,0
334,6,copy,0
335,4,copy,0
336,2,copy,0
337,6,copy,0
338,4,copy,0
339,6,copy,0
340,8,copy,0
341,6,merge,1
342,4,copy,0
343,2,copy,0
344,12,copy,0
345,10,merge,1
346,6,copy,0
347,2,copy,0
348,4,copy,0
349,6,copy,0
350,2,copy,0
351,12,copy,0
352,4,copy,0
353,2,copy,0
354,4,copy,0
355,8,copy,0
356,6,copy,0
357,4,copy,0
358,2,copy,0
359,4,copy,0
